,P(x),P(y),D_In,D_In_max,D_In_min,D_Out,D_Out_max,D_Out_min,D_Cyl,D_Cyl_max,D_Cyl_min,Rz_In_max,Rz_In,Rz_Out_max,Rz_Out,Rz_Cyl_max,Rz_Cyl,Rt_In,Rt_Out,Rt_Cyl,Rq_In,Rq_Out,Rq_Cyl,Ra_In,Ra_Out,Ra_Cyl,Moy_F_T1&T2,Moy_F_T2&T3,Moy_F_T3&T4,Max_F_T1&T2,Max_F_T2&T3,Max_F_T3&T4,Moy_M_T1&T2,Moy_M_T2&T3,Moy_M_T3&T4,Max_M_T1&T2,Max_M_T2&T3,Max_M_T3&T4,Et_Consommee
37,51800,-51800,6359.104,6373.138000000001,6344.816,6350.297,6376.036,6328.811,6360.865,6390.65381,6328.762272,2.518066406,1.3815429209999999,3.681396484,2.400634766,5.6022949220000005,2.52016592,2.764404297,3.681396484,5.6022949220000005,0.311988592,0.532203376,0.922615647,0.221950203,0.394545525,0.594360948,62.562583999999994,120.167382,28.149581,74.288949,141.20504,114.876659,0.074102,0.411948,0.488799,0.128911,0.606596,0.620286,467.88508099999996
38,51800,-66600,6358.151999999999,6388.201999999999,6328.303000000001,6351.49,6373.528,6325.2609999999995,6360.544,6379.585785,6340.3337280000005,3.200195313,1.460009813,5.456542969,3.067968845,3.232177734,2.01801753,3.200195313,5.456542969,3.253173828,0.29777348,0.623044312,0.6973344090000001,0.19405387300000002,0.40876171,0.57038331,63.764392,123.765042,29.835625,76.98542900000001,151.586782,125.55941200000001,0.07493999999999999,0.410862,0.480922,0.12950599999999998,0.611668,0.622668,470.313416
39,59200,0,6359.678000000001,6379.691999999999,6336.125,6346.84,6356.6630000000005,6337.985,6358.218000000001,6383.943840999999,6333.862932,3.3911132810000004,1.622802734,3.0405273439999996,2.24760747,3.9243164060000004,1.947021484,3.688476563,3.235595703,3.9243164060000004,0.38027408700000004,0.507564187,0.66293323,0.22477302,0.35981857799999994,0.500855386,68.128344,129.83547,31.82897,82.5146,156.991973,132.740307,0.07873,0.443363,0.510516,0.137053,0.648655,0.6607109999999999,501.1405
40,59200,-14800,6358.491999999999,6380.384,6336.32,6347.630999999999,6374.056,6320.789000000001,6359.848000000001,6386.131647,6332.135076,5.739257812999999,2.143701077,10.2878418,4.209472656,6.298339844,2.9708495139999997,5.739257812999999,10.2878418,6.57421875,0.449906319,1.014666319,1.041695833,0.270834208,0.570610762,0.6579162479999999,66.561237,129.21784399999999,30.08772,81.70269499999999,156.713234,123.675574,0.08064400000000001,0.433267,0.501412,0.139628,0.633356,0.649274,497.215038
41,59200,-29600,6359.331,6380.831,6337.463000000001,6349.855,6373.305,6326.493,6360.399,6388.669091,6330.665565,3.274658203,2.221874952,4.067138672,2.844482422,2.463623047,1.670947313,3.485351563,4.7888183589999995,2.62109375,0.426501721,0.60053885,0.56422168,0.29518201899999996,0.437218279,0.424016118,64.73410600000001,125.264147,27.903906,78.348235,149.624515,118.08313799999999,0.076237,0.414495,0.498383,0.137041,0.629536,0.639281,483.750578
42,59200,-44400,6359.419,6377.431,6339.001,6349.186,6364.246999999999,6335.249,6360.772,6392.7544689999995,6327.709881000001,5.050048828,2.308495998,2.964599609,2.07636714,9.278808594,3.022314548,5.050048828,3.328369141,9.278808594,0.529170394,0.45353555700000003,1.224264741,0.329475701,0.328373402,0.654710412,65.662837,128.951877,30.007976,79.557485,149.15871,120.395602,0.081893,0.43235200000000007,0.5012939999999999,0.13936099999999998,0.6249979999999999,0.6367430000000001,485.63956900000005
43,59200,-59200,6358.871999999999,6382.826999999999,6334.914000000001,6348.97,6369.473000000001,6329.713000000001,6360.818,6385.272814,6335.003924000001,2.152099609,1.51171875,3.013916016,2.36894536,5.4765625,2.49672842,2.161621094,3.0512695310000004,5.4765625,0.332717597,0.48177132,0.9157240990000001,0.24579992899999997,0.340390116,0.58697021,65.77640600000001,128.564646,30.306390000000004,77.471374,152.28599,128.83723,0.079127,0.42602299999999993,0.491713,0.139952,0.626124,0.6379199999999999,476.55817300000007
44,66600,-7400,6358.418000000001,6380.924,6337.108,6348.501,6367.156,6328.701999999999,6360.098000000001,6387.433043,6331.5310420000005,2.523925781,1.452734351,10.21142578,4.460205078,4.464111328,3.0645995139999997,2.523925781,10.21142578,5.5056152339999995,0.319925398,1.1098096370000001,0.9473631379999999,0.22923222199999999,0.624191821,0.625435174,67.695449,132.51458300000002,32.935845,80.993285,158.58388300000001,137.924628,0.08012899999999999,0.42931,0.508424,0.137087,0.634239,0.646177,499.41005
45,66600,-22200,6359.059,6386.755,6331.371,6348.062,6368.369000000001,6327.428000000001,6358.493,6389.271517,6328.750555,4.305175781,1.966552734,4.2990722660000005,2.619775295,4.487060547,2.182568312,4.305175781,4.2990722660000005,4.487060547,0.421514541,0.554052949,0.790069461,0.279943138,0.395154685,0.574583769,66.455446,130.37188899999998,29.128794,81.44667199999999,155.405004,116.78936599999999,0.080403,0.430609,0.49094499999999996,0.138352,0.625501,0.635542,479.15364800000003
46,66600,-37000,6358.974,6379.460999999999,6338.368,6351.186,6372.859,6326.3330000000005,6360.104,6382.688585,6336.388019,10.08398438,4.080566406,5.069824219,3.46484375,21.3515625,6.51108408,10.08398438,5.931152344,21.3515625,0.7463347909999999,0.667722762,2.634271145,0.36125198,0.46256664399999997,1.2914428709999999,65.011882,129.374403,32.513117,75.446365,150.275014,131.156727,0.081389,0.419965,0.49899099999999996,0.137519,0.611712,0.625071,489.23444299999994
47,66600,-51800,6358.392,6387.918000000001,6333.181,6350.215,6369.698,6329.493,6359.715,6391.040508,6328.230041,2.365966797,1.8063476090000001,4.8493652339999995,2.7134766580000003,4.0842285160000005,2.384863377,2.372070313,5.337890625,4.0842285160000005,0.399949819,0.616212189,0.9033044579999999,0.30819124,0.395504653,0.7132873540000001,66.446976,130.17064399999998,32.352263,81.053747,155.241283,128.315689,0.08067,0.421838,0.495997,0.14088699999999998,0.6185149999999999,0.632391,485.231052
48,66600,-66600,6358.38,6380.335999999999,6339.363,6350.093000000001,6368.840999999999,6329.93,6359.276,6387.070949,6331.278722999999,2.206298828,1.486181617,5.8562011720000005,3.381249905,40.087158200000005,9.441245079,2.290771484,5.8562011720000005,40.087158200000005,0.34973833,0.635851681,5.300484657,0.245326832,0.36844846600000003,2.113090754,66.618422,132.591824,32.290397999999996,80.542097,159.077075,133.528615,0.082565,0.425741,0.484796,0.14304,0.618729,0.627496,481.005911
49,74000,0,6357.228,6378.6140000000005,6334.323,6347.024,6361.835,6333.43,6358.889,6389.641979999999,6327.413407,2.010498047,1.423681617,5.287597656,2.9887695310000004,6.647949219,3.0756347180000003,2.055664063,5.287597656,6.647949219,0.31837567699999997,0.6396731139999999,1.041143417,0.239007682,0.442440182,0.686388552,69.53481500000001,132.895538,30.4366,84.982659,158.69101,125.286281,0.08166,0.435382,0.493526,0.14247,0.63002,0.638592,477.23015899999996
50,74000,-14800,6358.311,6365.769,6351.069,6348.284000000001,6379.411,6316.996999999999,6359.276999999999,6389.680474,6328.164522,3.12890625,2.040380955,9.115478516,4.244433403,6.7282714839999995,3.5189452169999997,3.12890625,9.115478516,7.2595214839999995,0.378738791,0.84832114,1.197160125,0.26037091,0.561560571,0.850311577,68.882563,133.724095,28.205103,83.824167,157.839687,120.355355,0.083713,0.440902,0.48791599999999996,0.14241199999999998,0.628652,0.6340399999999999,473.94172000000003
51,74000,-29600,6358.465999999999,6383.888000000001,6333.849,6348.2609999999995,6375.746,6320.8640000000005,6359.089,6387.860474,6330.113115,4.696777344,2.7643554210000003,8.580566406,3.472363234,4.464111328,2.39516592,4.696777344,8.580566406,4.488769531,0.521828234,0.780660033,0.963676929,0.343053311,0.468670815,0.715984464,67.33653699999999,133.427626,31.656233,82.814171,157.624368,132.190143,0.081751,0.419613,0.489097,0.138977,0.608544,0.626676,487.14675800000003
52,74000,-44400,6358.5509999999995,6378.223000000001,6341.214,6348.1990000000005,6371.382,6329.198,6359.594,6385.157902,6333.9361420000005,2.535400391,1.91494143,2.6987304689999996,2.030029297,3.5854492189999996,1.954101563,2.535400391,2.874755859,3.5854492189999996,0.44932904799999995,0.415901959,0.680209517,0.341542691,0.308946192,0.460018307,69.50237299999999,138.074711,34.195442,85.306945,160.95378,133.58848999999998,0.08619,0.44561999999999996,0.509822,0.14821600000000001,0.634147,0.644096,488.471
